dataset,sentences,label
amazon,way plug us unless go convert,0
amazon,good case excel valu,1
amazon,great jawbon,1
amazon,tie charger convers last minut major problem,0
amazon,mic great,1
amazon,jiggl plug get line right get decent volum,0
amazon,sever dozen sever hundr contact imagin fun send one,0
amazon,razr owner must this,1
amazon,needless say wast money,0
amazon,wast money time,0
amazon,sound qualiti great,1
amazon,impress go origin batteri extend batteri,1
amazon,seper mere ft start notic excess static garbl sound headset,0
amazon,good qualiti though,1
amazon,design odd ear clip comfort all,0
amazon,high recommend blue tooth phone,1
amazon,advis everyon fool,0
amazon,far good,1
amazon,work great,1
amazon,click place way make wonder long mechan would last,0
amazon,went motorola websit follow direct could get pair again,0
amazon,bought use kindl fire absolut love it,1
amazon,commerci mislead,0
amazon,run new batteri bar that day without charg,1
amazon,bought mother problem batteri,0
amazon,great pocket pc phone combin,1
amazon,ive own phone month say best mobil phone ive had,1
amazon,didnt think instruct provid help me,0
amazon,peopl couldnt hear talk pull earphon talk phone,0
amazon,doesnt hold charg,0
amazon,simpl littl phone use breakag unaccept,0
amazon,product ideal peopl like whose ear sensit,1
amazon,unus move car freeway speed,0
amazon,year left contract hate phone,0
amazon,car charger well ac charger includ make sure never run juic highi recommend,1
amazon,need least min get phone book time first turn phone batteri life short,0
amazon,kept well,1
amazon,poor talk time perform,0
amazon,case great work fine the,1
amazon,worthless product,0
amazon,great camera that mp pic nice clear great pictur qualiti,1
amazon,impress product,0
amazon,nice headset price right,1
amazon,hear garbag audio,0
amazon,excel bluetooth headset,1
amazon,featur want,1
amazon,right mind gonna buy batteri,0
amazon,argu verizon regard drop call return phone day,0
amazon,case seem well made,1
amazon,disappoint batteri,0
amazon,loud enough doesnt turn like should,0
amazon,good protect make phone bulki,1
amazon,usabl keyboard actual turn pda real world use machin instead neat gadget,1
amazon,phone pretti sturdi ive never larg problem it,1
amazon,love thing,1
amazon,everyth fine reason price e,1
amazon,disappoint,0
amazon,even drop phone stream submerg second still work great,1
amazon,happi complaint regard sound qualiti end,1
amazon,button bad,0
amazon,essenti forget microsoft tech support,0
amazon,realli recommend facepl sinc look nice eleg cool,1
amazon,headphon great find think perhap best purchas ive made last sever year serious,1
amazon,buy differ phone this,0
amazon,hold phone particular angl parti hear clear,0
amazon,big drawback mp player button phone front cover let paus skip song lock second,0
amazon,week later activ sudden die,0
amazon,feel comfort headset wear glass get way sometim,1
amazon,great ipod too,1
amazon,devic great sever situat,1
amazon,mic doesnt work,0
amazon,even bmw seri fair quiet troubl hear person say,0
amazon,great choic,1
amazon,nice dock station home work,1
amazon,beauti phone,1
amazon,love product,1
amazon,buy wrong advertis d,0
amazon,great littl item,1
amazon,love phone handi lot featur,1
amazon,purchas day longer work,0
amazon,wear everyday hold well,1
amazon,good bargain,0
amazon,well packag arriv time work intend,1
amazon,batteri run quick,0
amazon,item work great broke month use,0
amazon,headset easi use everyon love them,1
amazon,phone work great,1
